date,inner,middle,outer,large
2002-10-01,7578.125,7539.0625,14492.1875,103688.0615234375
2002-10-02,7578.125,7539.0625,14492.1875,103522.1923828125
2002-10-03,7539.0625,7539.0625,14492.1875,103565.91796875
2002-10-04,7578.125,7539.0625,14492.1875,103541.11328125
2002-10-05,7500.0,7539.0625,14492.1875,103123.08349609375
2002-10-06,7578.125,7539.0625,14492.1875,103209.7900390625
2002-10-07,7421.875,7539.0625,14492.1875,103261.8408203125
2002-10-08,7578.125,7539.0625,14492.1875,103295.8251953125
2002-10-09,7500.0,7539.0625,14492.1875,103064.453125
2002-10-10,7539.0625,7539.0625,14492.1875,103409.0576171875
2002-10-11,7578.125,7539.0625,14492.1875,102981.31103515625
2002-10-12,7500.0,7539.0625,14492.1875,101813.98315429688
2002-10-13,7578.125,7539.0625,14492.1875,101884.04541015625
2002-10-14,7421.875,7539.0625,14492.1875,100148.24829101564
2002-10-15,7500.0,7539.0625,14492.1875,99125.25024414062
2002-10-16,7304.6875,7539.0625,14492.1875,89504.58374023438
2002-10-17,6914.0625,7539.0625,14492.1875,85259.36889648439
2002-10-18,7421.875,7539.0625,14492.1875,81165.89355468751
2002-10-19,7265.625,7539.0625,14492.1875,75126.84936523438
2002-10-20,3320.3125,7539.0625,13593.75,61657.80029296875
2002-10-21,4765.625,7539.0625,11445.3125,55696.923828125
2002-10-22,5273.4375,7343.75,12578.125,55462.95166015625
2002-10-23,6250.0,7460.9375,12851.5625,55252.6611328125
2002-10-24,5625.0,5859.375,13476.5625,55055.70068359375
2002-10-25,3984.375,5078.125,9453.125,48509.136962890625
2002-10-26,4375.0,5468.75,8906.25,47687.939453125
2002-10-27,3828.125,4531.25,6601.5625,43282.232666015625
2002-10-28,4257.8125,4453.125,5859.375,41216.20788574218
2002-10-29,3750.0,3671.875,5000.0,38601.129150390625
2002-10-30,3242.1875,4335.9375,3515.625,35682.2265625
2002-10-31,3828.125,4921.875,3515.625,38265.40832519531
2002-11-01,5273.4375,5820.3125,5117.1875,42487.5
2002-11-02,5742.1875,6875.0,7070.3125,47196.87194824219
2002-11-03,4609.375,4804.6875,5625.0,42475.006103515625
